Stock,OpenTradeType,LastTradeType,UpOpenFlag,DownOpenFlag,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay
002304.SZ,buy5-openDown,NV,Close,Close,4,60,120,Y,1400,2.7651481564419895,Y,4,4,0.0,144.265148156442,0.0,0.0,138.734851843558,0.0,N,0,0
002690.SZ,sell2-openUp,NV,Close,Close,15,60,20,Y,9100,0.31407328959668374,Y,4,4,0.0,22.584073289596684,0.0,0.0,21.955926710403315,0.0,N,0,0
002672.SZ,NV,NV,Close,Close,14,60,-1,Y,7500,0.37405732651748597,Y,4,4,0.0,16.054057326517487,0.0,0.0,15.305942673482514,0.0,N,0,0
300037.SZ,NV,buy3,Open,Close,8,60,-1,Y,4500,0.8789027658493911,Y,4,3,27.229451382924694,26.79,26.350548617075304,25.47164585122591,25.032194468301217,24.592743085376522,N,0,0
300124.SZ,NV,sell2,Open,Close,8,60,-1,Y,3400,0.8147145764670304,Y,5,3,34.357357288233516,33.95,33.54264271176649,32.72792813529946,32.320570847065945,31.913213558832428,N,0,0
600031.SH,NV,NV,Close,Close,30,60,-1,Y,13100,0.11413432254862464,Y,4,4,0.0,8.954134322548624,0.0,0.0,8.725865677451376,0.0,N,0,0
600810.SH,NV,NV,Close,Close,12,60,-1,Y,7300,0.4914218117686822,Y,4,4,0.0,16.271421811768683,0.0,0.0,15.288578188231318,0.0,N,0,0
601003.SH,NV,NV,Close,Close,20,60,-1,Y,14200,0.24101703954840467,Y,4,4,0.0,8.551017039548405,0.0,0.0,8.068982960451596,0.0,N,0,0
603568.SH,NV,NV,Close,Close,10,60,-1,Y,4600,0.6008834259365036,Y,4,4,0.0,25.820883425936504,0.0,0.0,24.619116574063494,0.0,N,0,0
603658.SH,NV,buy3,Open,Close,4,60,-1,Y,1400,2.838078192581616,Y,4,3,88.9490390962908,87.53,86.1109609037092,83.27288271112758,81.85384361483676,80.43480451854596,N,0,0
